id	polarity	polarity_orig	sentence	polex	polex+targets	polex_span	polex+targets_span	target_spans	split
FT_other_BHP_02-05-2012 14 00	negative	has_medium_neg_target	Speculation had been mounting that at least one of those investments would be delayed .	would be delayed	at least one of those investments would be delayed	(11, 13)	(5, 13)	[(5, 10)]	train
FT_other_BHP_02-05-2012 15 00	negative	has_medium_neg_target	The company has been criticised by some shareholders for looking to push ahead with all three , given the uncertain global economic outlook , slowing growth in China and rising costs .	has been criticised by some shareholders for	The company has been criticised by some shareholders for looking to push ahead with all three	(2, 8)	(0, 15)	[(0, 1), (9, 15)]	train
FT_other_BHP_02-05-2012 15 01	positive	has_high_pos_target	The company has been criticised by some shareholders for looking to push ahead with all three , given the uncertain global economic outlook , slowing growth in China and rising costs .	looking to	looking to push ahead with all three	(9, 10)	(9, 15)	[(11, 15)]	train
FT_other_BHP_02-05-2012 15 02	negative	has_medium_neg_target	The company has been criticised by some shareholders for looking to push ahead with all three , given the uncertain global economic outlook , slowing growth in China and rising costs .	uncertain	uncertain global economic outlook	(19, 19)	(19, 22)	[(20, 22)]	train
FT_other_BHP_02-05-2012 15 03	negative	has_medium_neg_target	The company has been criticised by some shareholders for looking to push ahead with all three , given the uncertain global economic outlook , slowing growth in China and rising costs .	slowing	slowing growth in China	(24, 24)	(24, 27)	[(25, 27)]	train
FT_other_BHP_02-05-2012 15 04	negative	has_medium_neg_target	The company has been criticised by some shareholders for looking to push ahead with all three , given the uncertain global economic outlook , slowing growth in China and rising costs .	rising	rising costs	(29, 29)	(29, 30)	[(30, 30)]	train
FT_other_BHP_02-05-2012 17 00	positive	has_high_pos_target	Analysts said BHP is likely to proceed with the $ 20bn Outer Harbour iron ore project that involves the construction of a 4 km jetty and the dredging of a 30 km channel out into the Indian Ocean , and stagger development of the other the projects .	is likely to proceed with	is likely to proceed with the $ 20bn Outer Harbour iron ore project that involves the construction of a 4 km jetty and the dredging of a 30 km channel out into the Indian Ocean	(3, 7)	(3, 37)	[(8, 37)]	train
FT_other_BHP_02-05-2012 17 01	negative	has_high_neg_target	Analysts said BHP is likely to proceed with the $ 20bn Outer Harbour iron ore project that involves the construction of a 4 km jetty and the dredging of a 30 km channel out into the Indian Ocean , and stagger development of the other the projects .	stagger development of	stagger development of the other the projects	(40, 42)	(40, 46)	[(43, 46)]	train
FT_other_BHP_02-05-2012 19 00	negative	has_medium_neg_target	""" We believe the chances of all three projects receiving investment sanction over the next 12 to 18 months are very low , "" said Lee Bowers , analyst at Macquarie Securities ."	the chances of all three projects receiving investment sanction over the next 12 to 18 months are very low	the chances of all three projects receiving investment sanction over the next 12 to 18 months are very low	(3, 21)	(3, 21)	[(6, 8)]	train
FT_other_BHP_02-05-2012 21 00	positive	has_high_pos_target	Unlike Outer Habour , Olympic Dam and Jansen , which are targeting energy and food markets , are considered late-cycle economic projects that can be pushed back without too much impact on returns .	are targeting	are targeting energy and food markets	(10, 11)	(10, 15)	[(12, 15)]	train
FT_other_BHP_02-05-2012 21 01	positive	has_medium_pos_target	Unlike Outer Habour , Olympic Dam and Jansen , which are targeting energy and food markets , are considered late-cycle economic projects that can be pushed back without too much impact on returns .	are considered late-cycle economic projects that can be pushed back without too much impact on returns	Olympic Dam and Jansen , which are targeting energy and food markets , are considered late-cycle economic projects that can be pushed back without too much impact on returns	(17, 32)	(4, 32)	[(4, 7)]	train
FT_other_BHP_02-05-2012 21 02	negative	has_medium_neg_target	Unlike Outer Habour , Olympic Dam and Jansen , which are targeting energy and food markets , are considered late-cycle economic projects that can be pushed back without too much impact on returns .	are considered late-cycle economic projects that can be pushed back without too much impact on returns	Outer Habour , Olympic Dam and Jansen , which are targeting energy and food markets , are considered late-cycle economic projects that can be pushed back without too much impact on returns	(17, 32)	(1, 32)	[(1, 2)]	train
FT_other_BHP_02-05-2012 21 03	positive	has_medium_pos_target	Unlike Outer Habour , Olympic Dam and Jansen , which are targeting energy and food markets , are considered late-cycle economic projects that can be pushed back without too much impact on returns .	can be pushed back without too much impact on returns	that can be pushed back without too much impact on returns	(23, 32)	(22, 32)	[(22, 22)]	train
FT_other_BHP_02-05-2012 21 04	positive	has_medium_pos_target	Unlike Outer Habour , Olympic Dam and Jansen , which are targeting energy and food markets , are considered late-cycle economic projects that can be pushed back without too much impact on returns .	without too much impact on	without too much impact on returns	(27, 31)	(27, 32)	[(32, 32)]	train
FT_other_BHP_02-05-2012 23 00	negative	has_medium_neg_target	In addition , the economics of the Olympic Dam project could become less favourable if Wayne Swan , the Australian treasurer , removes a diesel fuel rebate and the ability to offset the cost of removing overburden , or waste material , from a mine against tax .	could become less favourable	the economics of the Olympic Dam project could become less favourable	(10, 13)	(3, 13)	[(3, 9)]	train
FT_other_BHP_02-05-2012 23 01	negative	has_high_neg_target+has_medium_neg_target	In addition , the economics of the Olympic Dam project could become less favourable if Wayne Swan , the Australian treasurer , removes a diesel fuel rebate and the ability to offset the cost of removing overburden , or waste material , from a mine against tax .	removes	removes a diesel fuel rebate and the ability to offset the cost of removing overburden , or waste material	(22, 22)	(22, 40)	[(23, 26), (28, 40)]	train
FT_other_BHP_02-05-2012 23 02	positive	has_medium_pos_target	In addition , the economics of the Olympic Dam project could become less favourable if Wayne Swan , the Australian treasurer , removes a diesel fuel rebate and the ability to offset the cost of removing overburden , or waste material , from a mine against tax .	the ability to offset	the ability to offset the cost of removing overburden , or waste material	(28, 31)	(28, 40)	[(32, 40)]	train
FT_other_BHP_02-05-2012 24 00	positive	has_high_pos_target	Mr Swan has vowed to return the budget to a surplus by 2012/13 .	return the budget to a surplus by 2012/13	return the budget to a surplus by 2012/13	(5, 12)	(5, 12)	[(6, 7)]	train
FT_other_BHP_02-05-2012 26 00	positive	has_medium_pos_target	""" BHP thinks there 's a window of opportunity in the iron ore market before demand starts heading south in 2025 ... and they can make good money from the [ Pilbara ] in that time , ' said Glyn Lawcock , the Sydney-based head of resource research at UBS ."	there 's a window of opportunity in the iron ore market before demand starts heading south in 2025	there 's a window of opportunity in the iron ore market before demand starts heading south in 2025	(3, 20)	(3, 20)	[(10, 13)]	train
FT_other_BHP_02-05-2012 26 01	positive	has_medium_pos_target	""" BHP thinks there 's a window of opportunity in the iron ore market before demand starts heading south in 2025 ... and they can make good money from the [ Pilbara ] in that time , ' said Glyn Lawcock , the Sydney-based head of resource research at UBS ."	can make good money from	they can make good money from	(24, 28)	(23, 28)	[(23, 23)]	train
FT_other_BHP_02-05-2012 28 00	neutral	has_target_with_unknown_polarity	Mr Lawcock believes Marius Kloppers , BHP 's chief executive , could use a speech he is due to make at a conference in Miami later this month to provide more detail on the company 's strategy .	could use a speech	Marius Kloppers , BHP 's chief executive , could use a speech	(11, 14)	(3, 14)	[(3, 9)]	train
FT_other_BHP_02-05-2012 30 00	positive	has_medium_pos_target	Shares in BHP were 0.4 per cent higher at A$36.10 in Sydney trading on Wednesday afternoon .	were 0.4 per cent higher at A$36.10 in Sydney trading on Wednesday afternoon	Shares in BHP were 0.4 per cent higher at A$36.10 in Sydney trading on Wednesday afternoon	(3, 15)	(0, 15)	[(0, 2)]	train
FT_other_BHP_16-05-2005 00 00	negative	has_high_neg_target	BHP Billiton drops Posco joint venture in east India IRON AND STEEL :	drops Posco joint venture in east India	drops Posco joint venture in east India	(2, 8)	(2, 8)	[(3, 5)]	train
FT_other_BHP_16-05-2005 02 00	negative	has_high_neg_target	BHP Billiton has pulled out of a Dollars 10bn iron ore and steel joint venture with South Korea 's Posco in eastern India - the country 's largest foreign direct investment - after refusing to accept financial conditions laid out by the local government .	has pulled out of	has pulled out of a Dollars 10bn iron ore and steel joint venture with South Korea 's Posco in eastern India - the country 's largest foreign direct investment -	(2, 5)	(2, 31)	[(6, 31)]	train
FT_other_BHP_16-05-2005 02 01	positive	has_high_pos_target	BHP Billiton has pulled out of a Dollars 10bn iron ore and steel joint venture with South Korea 's Posco in eastern India - the country 's largest foreign direct investment - after refusing to accept financial conditions laid out by the local government .	the country 's largest	the country 's largest foreign direct investment	(24, 27)	(24, 30)	[(28, 30)]	train
FT_other_BHP_16-05-2005 02 02	negative	has_medium_neg_target	BHP Billiton has pulled out of a Dollars 10bn iron ore and steel joint venture with South Korea 's Posco in eastern India - the country 's largest foreign direct investment - after refusing to accept financial conditions laid out by the local government .	refusing to accept	refusing to accept financial conditions	(33, 35)	(33, 37)	[(36, 37)]	train
FT_other_BHP_16-05-2005 02 03	positive	has_low_pos_target	BHP Billiton has pulled out of a Dollars 10bn iron ore and steel joint venture with South Korea 's Posco in eastern India - the country 's largest foreign direct investment - after refusing to accept financial conditions laid out by the local government .	laid out by	financial conditions laid out by	(38, 40)	(36, 40)	[(36, 37)]	train
